iter	Passed	Remaining
1237	22407	13792
1238	22425	13774
1239	22443	13755
1240	22461	13737
1241	22481	13720
1242	22501	13703
1243	22519	13685
1244	22536	13666
1245	22554	13648
1246	22573	13631
1247	22593	13614
1248	22613	13597
1249	22633	13579
1250	22647	13559
1251	22664	13541
1252	22682	13522
1253	22699	13504
1254	22718	13486
1255	22737	13468
1256	22755	13450
1257	22775	13433
1258	22795	13416
1259	22812	13397
1260	22830	13379
1261	22846	13360
1262	22863	13341
1263	22883	13324
1264	22903	13307
1265	22920	13288
1266	22940	13271
1267	22960	13255
1268	22979	13237
1269	22997	13218
1270	23014	13200
1271	23030	13181
1272	23049	13163
1273	23070	13146
1274	23089	13129
1275	23110	13112
1276	23126	13093
1277	23147	13077
1278	23168	13060
1279	23186	13042
1280	23204	13024
1281	23222	13006
1282	23240	12988
1283	23255	12968
1284	23277	12952
1285	23299	12935
1286	23319	12918
1287	23336	12900
1288	23355	12882
1289	23376	12865
1290	23396	12848
1291	23414	12830
1292	23431	12812
1293	23446	12792
1294	23465	12774
1295	23483	12756
1296	23504	12739
1297	23523	12722
1298	23542	12704
1299	23562	12687
1300	23578	12668
1301	23596	12649
1302	23613	12631
1303	23635	12615
1304	23654	12597
1305	23673	12580
1306	23691	12561
1307	23709	12543
1308	23728	12525
1309	23746	12507
1310	23764	12489
1311	23781	12470
1312	23800	12452
1313	23818	12434
1314	23837	12417
1315	23855	12399
1316	23875	12382
1317	23893	12363
1318	23911	12345
1319	23930	12327
1320	23949	12310
1321	23969	12292
1322	23989	12275
1323	24007	12257
1324	24026	12239
1325	24043	12221
1326	24063	12204
1327	24081	12185
1328	24099	12167
1329	24118	12149
1330	24136	12131
1331	24155	12113
1332	24172	12095
1333	24193	12078
1334	24211	12060
1335	24227	12041
1336	24246	12023
1337	24264	12005
1338	24287	11989
1339	24303	11970
1340	24325	11953
1341	24341	11935
1342	24359	11916
1343	24379	11899
1344	24390	11878
1345	24409	11860
1346	24427	11842
1347	24444	11823
1348	24460	11804
1349	24481	11787
1350	24503	11770
1351	24524	11754
1352	24542	11735
1353	24560	11718
1354	24583	11701
1355	24600	11683
1356	24620	11666
1357	24640	11648
1358	24660	11631
1359	24680	11614
1360	24698	11596
1361	24717	11578
1362	24734	11559
1363	24753	11541
1364	24772	11523
1365	24790	11506
1366	24809	11488
1367	24827	11469
1368	24845	11451
